"Date","Price","Open","High","Low","Vol.","Change %"
"06/28/2019","4.546","4.470","4.546","4.400","28.91K","4.03%"
"06/27/2019","4.370","4.380","4.430","4.370","76.99K","0.23%"
"06/26/2019","4.360","4.360","4.420","4.352","30.95K","-0.41%"
"06/25/2019","4.378","4.400","4.446","4.376","34.67K","-0.77%"
"06/24/2019","4.412","4.600","4.600","4.402","16.25K","-2.09%"
"06/21/2019","4.506","4.406","4.520","4.406","107.64K","1.85%"
"06/20/2019","4.424","4.414","4.536","4.402","29.75K","-0.58%"
"06/19/2019","4.450","4.460","4.550","4.410","30.24K","-0.80%"
"06/18/2019","4.486","4.504","4.550","4.452","26.34K","-0.36%"
"06/17/2019","4.502","4.742","4.742","4.502","118.58K","-2.55%"
"06/14/2019","4.620","4.876","4.876","4.580","67.69K","-3.35%"
"06/13/2019","4.780","4.704","4.790","4.636","30.78K","1.57%"
"06/12/2019","4.706","4.940","4.940","4.660","45.23K","-4.93%"
"06/11/2019","4.950","4.924","5.205","4.826","125.59K","1.02%"
"06/10/2019","4.900","4.790","4.986","4.696","109.64K","5.15%"
"06/07/2019","4.660","4.480","4.734","4.480","49.00K","3.10%"
"06/06/2019","4.520","4.548","4.550","4.480","17.66K","0.71%"
"06/05/2019","4.488","4.530","4.540","4.412","16.73K","-1.32%"
"06/04/2019","4.548","4.472","4.548","4.412","23.80K","1.07%"
"06/03/2019","4.500","4.350","4.530","4.340","28.99K","2.83%"
"05/31/2019","4.376","4.590","4.590","4.376","12.30K","-2.97%"
"05/30/2019","4.510","4.480","4.538","4.480","25.31K","-0.40%"
"05/29/2019","4.528","4.370","4.600","4.350","37.44K","2.72%"
"05/28/2019","4.408","4.444","4.548","4.350","22.10K","-1.74%"
"05/27/2019","4.486","4.550","4.550","4.482","6.52K","1.26%"
"05/24/2019","4.430","4.560","4.560","4.400","13.31K","0.41%"
"05/23/2019","4.412","4.450","4.498","4.382","12.55K","-1.52%"
"05/22/2019","4.480","4.540","4.540","4.480","14.75K","-0.44%"
"05/21/2019","4.500","4.500","4.560","4.500","12.35K","-0.49%"
"05/20/2019","4.522","4.580","4.680","4.512","23.56K","-1.48%"
"05/17/2019","4.590","4.580","4.650","4.580","8.56K","-0.86%"
"05/16/2019","4.630","4.542","4.698","4.542","25.79K","-0.04%"
"05/15/2019","4.632","4.850","4.850","4.632","19.27K","-0.39%"
"05/14/2019","4.650","4.704","4.752","4.646","30.19K","-2.15%"
"05/13/2019","4.752","4.810","4.810","4.700","17.98K","-0.79%"
"05/10/2019","4.790","4.850","4.850","4.710","40.02K","-1.07%"
"05/09/2019","4.842","4.718","4.842","4.560","58.58K","1.72%"
"05/08/2019","4.760","4.740","4.790","4.702","36.23K","-1.12%"
"05/07/2019","4.814","4.770","4.838","4.720","10.30K","0.67%"
"05/06/2019","4.782","4.750","4.870","4.750","18.05K","-1.56%"
"05/03/2019","4.858","4.798","4.858","4.720","11.93K","0.96%"
"05/02/2019","4.812","4.850","4.850","4.752","18.32K","-0.78%"
"04/30/2019","4.850","4.936","4.936","4.806","25.77K","0.00%"
"04/29/2019","4.850","4.892","4.902","4.750","22.37K","-1.38%"
"04/26/2019","4.918","4.730","4.918","4.730","13.45K","2.46%"
"04/25/2019","4.800","4.798","4.858","4.798","20.77K","-1.72%"
"04/24/2019","4.884","4.914","4.960","4.800","27.33K","-0.57%"
"04/23/2019","4.912","4.974","4.978","4.830","20.61K","-0.97%"
"04/18/2019","4.960","4.864","4.968","4.826","17.65K","1.56%"
"04/17/2019","4.884","4.802","4.950","4.802","77.54K","1.08%"
"04/16/2019","4.832","4.802","4.880","4.802","11.11K","-1.39%"
"04/15/2019","4.900","4.800","4.908","4.800","31.00K","1.62%"
"04/12/2019","4.822","4.790","4.822","4.720","27.52K","1.30%"
"04/11/2019","4.760","4.844","4.844","4.712","230.12K","0.21%"
"04/10/2019","4.750","4.802","4.908","4.750","16.19K","-1.86%"
"04/09/2019","4.840","4.776","4.878","4.768","37.80K","-0.58%"
"04/08/2019","4.868","4.860","5.000","4.840","21.18K","-0.65%"
"04/05/2019","4.900","5.000","5.000","4.860","15.38K","0.37%"
"04/04/2019","4.882","5.000","5.000","4.880","19.97K","-2.36%"
"04/03/2019","5.000","4.950","5.030","4.950","49.73K","0.08%"
"04/02/2019","4.996","5.045","5.045","4.950","43.27K","0.04%"
"04/01/2019","4.994","4.962","5.080","4.950","25.88K","-1.69%"
"03/29/2019","5.080","4.950","5.080","4.950","32.73K","1.60%"
"03/28/2019","5.000","5.040","5.100","4.950","20.60K","-0.79%"
"03/27/2019","5.040","5.100","5.100","5.040","35.79K","-0.20%"
"03/26/2019","5.050","5.075","5.210","5.035","79.30K","-2.32%"
"03/25/2019","5.170","5.250","5.250","5.120","45.14K","0.00%"
"03/22/2019","5.170","5.220","5.220","5.130","61.35K","0.00%"
"03/21/2019","5.170","5.200","5.200","5.120","19.02K","0.58%"
"03/20/2019","5.140","5.165","5.185","5.120","41.80K","-0.96%"
"03/19/2019","5.190","5.195","5.205","5.170","81.10K","-0.19%"
"03/18/2019","5.200","5.170","5.230","5.020","41.82K","1.36%"
"03/15/2019","5.130","5.100","5.170","5.080","153.20K","-0.77%"
"03/14/2019","5.170","5.165","5.200","5.090","123.42K","0.29%"
"03/13/2019","5.155","5.150","5.230","5.150","100.66K","0.10%"
"03/12/2019","5.150","5.100","5.150","5.030","77.36K","0.00%"
"03/11/2019","5.150","5.160","5.160","5.010","39.15K","0.19%"
"03/08/2019","5.140","5.110","5.190","5.040","84.77K","-0.29%"
"03/07/2019","5.155","5.185","5.190","5.100","110.74K","-1.53%"
"03/06/2019","5.235","5.200","5.275","5.130","91.64K","0.67%"
"03/05/2019","5.200","5.000","5.235","5.000","74.57K","2.97%"
"03/04/2019","5.050","5.040","5.090","4.856","172.62K","0.40%"
"03/01/2019","5.030","4.750","5.120","4.750","119.53K","6.34%"
"02/28/2019","4.730","4.770","4.880","4.730","129.00K","-1.25%"
"02/27/2019","4.790","4.522","4.840","4.522","134.48K","2.00%"
"02/26/2019","4.696","4.570","4.770","4.560","218.50K","3.21%"
"02/25/2019","4.550","4.550","4.570","4.448","35.56K","1.11%"
"02/22/2019","4.500","4.560","4.560","4.420","21.81K","0.67%"
"02/21/2019","4.470","4.536","4.542","4.470","33.46K","-0.22%"
"02/20/2019","4.480","4.472","4.560","4.472","22.46K","-1.23%"
"02/19/2019","4.536","4.510","4.544","4.500","87.55K","0.40%"
"02/18/2019","4.518","4.520","4.550","4.504","27.94K","-0.09%"
"02/15/2019","4.522","4.570","4.580","4.510","73.66K","-0.62%"
"02/14/2019","4.550","4.590","4.590","4.502","85.57K","-0.26%"
"02/13/2019","4.562","4.530","4.610","4.530","40.06K","-0.31%"
"02/12/2019","4.576","4.600","4.700","4.502","70.23K","0.09%"
"02/11/2019","4.572","4.554","4.642","4.458","59.04K","0.04%"
"02/08/2019","4.570","4.656","4.656","4.554","51.91K","-0.04%"
"02/07/2019","4.572","4.690","4.690","4.572","85.51K","-2.10%"
"02/06/2019","4.670","4.596","4.700","4.580","104.66K","3.64%"
"02/05/2019","4.506","4.510","4.700","4.420","431.74K","0.81%"
"02/04/2019","4.470","4.440","4.510","4.304","130.55K","1.92%"
"02/01/2019","4.386","4.380","4.500","4.300","119.63K","0.60%"
"01/31/2019","4.360","4.510","4.510","4.352","104.59K","-1.89%"
