"Date","Price","Open","High","Low","Change %"
"12/09/1999","5.252","5.252","5.252","5.252","0.79%"
"12/08/1999","5.211","5.211","5.211","5.211","0.39%"
"12/07/1999","5.191","5.191","5.191","5.191","-0.52%"
"12/06/1999","5.218","5.218","5.218","5.218","-0.40%"
"12/03/1999","5.239","5.239","5.239","5.239","-0.06%"
"12/02/1999","5.242","5.242","5.242","5.242","-0.30%"
"12/01/1999","5.258","5.258","5.258","5.258","-0.51%"
"11/30/1999","5.285","5.285","5.285","5.285","-0.51%"
"11/29/1999","5.312","5.312","5.312","5.312","0.59%"
"11/26/1999","5.281","5.281","5.281","5.281","-0.04%"
"11/24/1999","5.283","5.283","5.283","5.283","1.17%"
"11/23/1999","5.222","5.222","5.222","5.222","0.08%"
"11/22/1999","5.218","5.218","5.218","5.218","0.00%"
"11/19/1999","5.218","5.218","5.218","5.218","0.15%"
"11/18/1999","5.210","5.210","5.210","5.210","0.17%"
"11/17/1999","5.201","5.201","5.201","5.201","-1.29%"
"11/16/1999","5.269","5.269","5.269","5.269","0.38%"
"11/15/1999","5.249","5.249","5.249","5.249","0.79%"
"11/12/1999","5.208","5.208","5.208","5.208","0.19%"
"11/11/1999","5.198","5.198","5.198","5.198","0.17%"
"11/10/1999","5.189","5.189","5.189","5.189","1.19%"
"11/09/1999","5.128","5.128","5.128","5.128","-0.93%"
"11/08/1999","5.176","5.176","5.176","5.176","1.63%"
"11/05/1999","5.093","5.093","5.093","5.093","0.77%"
"11/04/1999","5.054","5.054","5.054","5.054","-0.02%"
"11/03/1999","5.055","5.055","5.055","5.055","-1.23%"
"11/02/1999","5.118","5.118","5.118","5.118","1.53%"
"11/01/1999","5.041","5.041","5.041","5.041","-1.02%"
"10/29/1999","5.093","5.093","5.093","5.093","-0.06%"
"10/28/1999","5.096","5.096","5.096","5.096","-0.62%"
"10/27/1999","5.128","5.128","5.128","5.128","-0.16%"
"10/26/1999","5.136","5.136","5.136","5.136","2.31%"
"10/25/1999","5.020","5.020","5.020","5.020","-0.83%"
"10/22/1999","5.062","5.062","5.062","5.062","-1.17%"
"10/21/1999","5.122","5.122","5.122","5.122","-0.21%"
"10/20/1999","5.133","5.133","5.133","5.133","1.70%"
"10/19/1999","5.047","5.047","5.047","5.047","-0.30%"
"10/18/1999","5.062","5.062","5.062","5.062","0.82%"
"10/15/1999","5.021","5.021","5.021","5.021","0.28%"
"10/14/1999","5.007","5.007","5.007","5.007","0.72%"
"10/13/1999","4.971","4.971","4.971","4.971","2.54%"
"10/12/1999","4.848","4.848","4.848","4.848","0.98%"
"10/11/1999","4.801","4.801","4.801","4.801","0.00%"
"10/08/1999","4.801","4.801","4.801","4.801","-0.06%"
"10/07/1999","4.804","4.804","4.804","4.804","-0.02%"
"10/06/1999","4.805","4.805","4.805","4.805","-0.64%"
"10/05/1999","4.836","4.836","4.836","4.836","1.38%"
"10/04/1999","4.770","4.770","4.770","4.770","-0.87%"
"10/01/1999","4.812","4.812","4.812","4.812","0.38%"
"09/30/1999","4.794","4.794","4.794","4.794","-0.23%"
"09/29/1999","4.805","4.805","4.805","4.805","-1.07%"
"09/28/1999","4.857","4.857","4.857","4.857","1.17%"
"09/27/1999","4.801","4.801","4.801","4.801","0.42%"
"09/24/1999","4.781","4.781","4.781","4.781","-0.58%"
"09/23/1999","4.809","4.809","4.809","4.809","0.08%"
"09/22/1999","4.805","4.805","4.805","4.805","0.65%"
"09/21/1999","4.774","4.774","4.774","4.774","2.53%"
"09/20/1999","4.656","4.656","4.656","4.656","0.11%"
"09/17/1999","4.651","4.651","4.651","4.651","-0.83%"
"09/16/1999","4.690","4.690","4.690","4.690","-0.89%"
