"Date","Price","Open","High","Low","Vol.","Change %"
"01/07/2010","4.165","3.985","4.242","3.981","615.37K","3.63%"
"01/06/2010","4.019","4.068","4.107","3.898","261.75K","-1.33%"
"01/05/2010","4.073","3.874","4.116","3.874","811.46K","5.41%"
"01/04/2010","3.864","3.627","3.864","3.627","405.68K","7.24%"
"12/30/2009","3.603","3.651","3.724","3.593","447.02K","-2.23%"
"12/29/2009","3.685","3.768","3.797","3.680","266.67K","-2.95%"
"12/28/2009","3.797","3.797","3.826","3.739","307.07K","0.66%"
"12/23/2009","3.772","3.806","3.850","3.758","230.28K","-1.28%"
"12/22/2009","3.821","3.743","3.889","3.743","522.23K","2.47%"
"12/21/2009","3.729","3.724","3.739","3.651","185.57K","0.54%"
"12/18/2009","3.709","3.622","3.719","3.593","288.97K","1.04%"
"12/17/2009","3.671","3.608","3.739","3.559","475.86K","1.75%"
"12/16/2009","3.608","3.540","3.608","3.535","162.53K","1.23%"
"12/15/2009","3.564","3.564","3.564","3.496","122.99K","0.28%"
"12/14/2009","3.554","3.545","3.603","3.530","380.88K","1.66%"
"12/11/2009","3.496","3.487","3.501","3.443","101.88K","0.40%"
"12/10/2009","3.482","3.443","3.487","3.404","187.91K","1.13%"
"12/09/2009","3.443","3.506","3.506","3.390","316.50K","-1.40%"
"12/08/2009","3.492","3.559","3.564","3.448","136.98K","-1.74%"
"12/07/2009","3.554","3.472","3.564","3.472","244.33K","0.82%"
"12/04/2009","3.525","3.516","3.559","3.458","286.56K","-0.28%"
"12/03/2009","3.535","3.496","3.613","3.467","482.30K","2.97%"
"12/02/2009","3.433","3.506","3.506","3.433","308.15K","-2.75%"
"12/01/2009","3.530","3.487","3.550","3.467","375.51K","2.95%"
"11/30/2009","3.429","3.579","3.593","3.429","272.80K","-3.00%"
"11/27/2009","3.535","3.419","3.554","3.216","915.36K","0.68%"
"11/26/2009","3.511","3.724","3.724","3.443","560.77K","-5.85%"
"11/25/2009","3.729","3.680","3.729","3.622","508.82K","2.14%"
"11/24/2009","3.651","3.564","3.651","3.496","394.51K","1.19%"
