,date,ticker
112,2021-06-11,"['MRL' 'ITX' 'BBVA' 'MTS' 'CIE' 'BKT' 'SAN_1' 'ACX_2' 'TEF' 'FDR' 'PHM'
 'CABK' 'MEL' 'REP']"
113,2021-06-14,"['FDR' 'MEL' 'CABK' 'MRL' 'MTS' 'REP' 'PHM' 'BBVA' 'ITX' 'CIE' 'SAN_1'
 'TEF' 'BKT' 'ACX_2']"
114,2021-06-15,"['BKT' 'REP' 'ACX_2' 'IAG' 'TEF' 'CABK' 'CIE' 'PHM' 'SAN_1' 'MRL' 'ITX'
 'BBVA' 'FDR' 'MEL']"
115,2021-06-16,"['BBVA' 'PHM' 'ACX_2' 'CIE' 'MRL' 'SAN_1' 'MEL' 'BKT' 'ITX' 'FDR' 'CABK'
 'AMS_1' 'TEF']"
116,2021-06-17,"['MEL' 'ACX_2' 'PHM' 'BKT' 'SLR' 'CIE' 'BBVA' 'IAG' 'SGRE' 'CABK' 'FDR'
 'TEF' 'AMS_1' 'ITX' 'REP' 'MRL' 'ANA_2' 'SAN_1']"
117,2021-06-18,"['TEF' 'IAG' 'CIE' 'SAN_1' 'MEL' 'FDR' 'MRL' 'AMS_1' 'ITX' 'CABK' 'PHM'
 'BKT']"
118,2021-06-21,"['TEF' 'PHM' 'ITX' 'CABK' 'CIE' 'BKT' 'FDR' 'MRL' 'SAN_1' 'SGRE' 'AMS_1'
 'SLR']"
119,2021-06-22,['TEF' 'AMS_1' 'PHM' 'BKT' 'ACS' 'SGRE' 'CABK' 'IAG' 'CIE' 'FDR' 'MEL']
120,2021-06-23,"['PHM' 'BKT' 'AMS_1' 'FDR' 'CIE' 'SGRE' 'ACS' 'TEF' 'IAG' 'MRL' 'CABK'
 'MEL']"
121,2021-06-24,"['ACX_2' 'SGRE' 'CABK' 'SLR' 'MRL' 'FDR' 'ACS' 'TEF' 'BBVA' 'REP' 'CIE'
 'BKT' 'MEL' 'PHM' 'IAG']"
122,2021-06-25,"['FDR' 'PHM' 'TEF' 'MRL' 'CABK' 'SGRE' 'BBVA' 'MEL' 'IAG' 'CIE' 'BKT'
 'ACS' 'REP']"
123,2021-06-28,['AMS_1' 'SGRE' 'CIE' 'MRL' 'PHM' 'SLR' 'ACS' 'IAG' 'TEF' 'FDR' 'BKT']
124,2021-06-29,"['FDR' 'ACX_2' 'AMS_1' 'SLR' 'ELE_1' 'TEF' 'BKT' 'PHM' 'CIE' 'SGRE' 'MRL'
 'IAG' 'ACS']"
125,2021-06-30,"['ACS' 'BKT' 'SAN_1' 'ACX_2' 'CIE' 'ITX' 'AMS_1' 'SGRE' 'FDR' 'PHM' 'MRL'
 'IAG' 'TEF']"
126,2021-07-01,"['MEL' 'ACS' 'IAG' 'AMS_1' 'MRL' 'CABK' 'SGRE' 'BKT' 'ACX_2' 'TEF' 'ITX'
 'CIE' 'SAN_1' 'FDR']"
127,2021-07-02,"['ACX_2' 'MRL' 'IDR' 'AMS_1' 'ITX' 'BKT' 'CIE' 'SAN_1' 'FDR' 'ACS' 'IAG'
 'PHM' 'TEF' 'SGRE']"
128,2021-07-05,"['CIE' 'AMS_1' 'MEL' 'SAN_1' 'FDR' 'ACX_2' 'IAG' 'ACS' 'SGRE' 'ITX' 'BKT'
 'PHM' 'TEF' 'CABK' 'MRL']"
129,2021-07-06,"['TEF' 'SGRE' 'PHM' 'IAG' 'ITX' 'SLR' 'CIE' 'ACS' 'BKT' 'AMS_1' 'MRL'
 'FDR']"
130,2021-07-07,"['SGRE' 'PHM' 'BKT' 'ACX_2' 'ITX' 'FDR' 'MRL' 'IAG' 'CIE' 'SLR' 'MEL'
 'TEF' 'ACS' 'AMS_1']"
131,2021-07-08,"['IBE' 'CIE' 'ITX' 'SGRE' 'ACS' 'BKT' 'IAG' 'IDR' 'MRL' 'AMS_1' 'SLR'
 'TEF' 'PHM' 'FDR']"
132,2021-07-09,"['AMS_1' 'TEF' 'MRL' 'CIE' 'ACX_2' 'SGRE' 'SLR' 'PHM' 'IDR' 'BKT' 'IBE'
 'FDR' 'ITX' 'IAG']"
133,2021-07-12,"['ITX' 'ACS' 'IDR' 'BKT' 'FDR' 'PHM' 'IAG' 'SGRE' 'MRL' 'SLR' 'CIE'
 'AMS_1' 'TEF' 'ACX_2']"
134,2021-07-13,"['ACX_2' 'BKT' 'CIE' 'SLR' 'SGRE' 'PHM' 'TEF' 'IDR' 'MRL' 'FDR' 'IAG'
 'ITX']"
135,2021-07-14,"['FDR' 'PHM' 'SGRE' 'IDR' 'ACX_2' 'SLR' 'BKT' 'MRL' 'TEF' 'ITX' 'CIE'
 'IAG']"
136,2021-07-15,['CIE' 'IDR' 'TEF' 'ACX_2' 'IAG' 'BKT' 'MRL' 'SGRE' 'FDR' 'SLR' 'PHM']
137,2021-07-16,"['BKT' 'SLR' 'PHM' 'IDR' 'CABK' 'TEF' 'AMS_1' 'FDR' 'IAG' 'CIE' 'MRL'
 'SGRE' 'ACX_2']"
138,2021-07-19,['PHM' 'SLR' 'SGRE' 'CIE' 'FDR' 'FER' 'BKT' 'TEF']
139,2021-07-20,['PHM' 'TEF' 'BKT' 'SGRE' 'FER' 'COL_1' 'SLR' 'CIE' 'FDR']
140,2021-07-21,['PHM' 'FER' 'FDR' 'TEF' 'SLR' 'CIE' 'ACX_2' 'SGRE' 'BKT']
141,2021-07-22,['CIE' 'SLR' 'ACX_2' 'TEF' 'PHM' 'MRL' 'FDR' 'FER' 'BKT' 'SGRE']
142,2021-07-23,['SGRE' 'PHM' 'ACX_2' 'CIE' 'MRL' 'BKT' 'FER' 'SLR' 'FDR' 'TEF']
143,2021-07-26,['MRL' 'CIE' 'SLR' 'FER' 'FDR' 'PHM' 'SGRE' 'TEF' 'BKT']
144,2021-07-27,['TEF' 'SGRE' 'CIE' 'FER' 'MRL' 'BKT' 'FDR' 'SLR']
145,2021-07-28,['TEF' 'SGRE' 'BKT' 'FDR' 'PHM' 'MRL']
146,2021-07-29,['TEF' 'BKT' 'PHM' 'FDR' 'SLR' 'SGRE' 'IAG' 'MRL']
147,2021-07-30,['SGRE' 'MRL' 'BKT' 'TEF']
148,2021-08-02,['MRL' 'BKT' 'SGRE' 'TEF' 'SLR' 'MEL' 'PHM' 'FDR']
149,2021-08-03,['SGRE' 'ACS' 'FDR' 'BKT' 'TEF' 'MRL']
150,2021-08-04,['SLR' 'FDR' 'BKT' 'CABK' 'SGRE' 'ACS' 'PHM']
151,2021-08-05,['ACS' 'FDR' 'SGRE' 'BKT' 'SLR']
152,2021-08-06,['ACS' 'SGRE' 'SLR' 'BKT']
153,2021-08-09,['MEL' 'SGRE' 'SLR' 'ITX' 'BKT' 'CABK' 'ACS' 'FDR' 'IDR' 'AENA']
154,2021-08-10,['ACS' 'ITX' 'FDR' 'IDR' 'AENA' 'BKT' 'MEL']
